"No.","Time","Source","Destination","Protocol","Length","Info"
"146","1.438423","fe80::686e:b9d2:e7b6:7300","ff02::fb","MDNS","331","Standard query 0x4477 PTR _alljoyn._udp.local, ""QU"" question PTR _alljoyn._tcp.local, ""QU"" question TXT TXT"
"147","1.438426","172.16.23.109","172.16.23.255","UDP","62","2008  >  2008 Len=20"
"148","1.438428","172.16.23.109","172.16.23.255","UDP","62","2007  >  2007 Len=20"
"149","1.439585","172.16.21.59","172.16.23.255","UDP","62","2008  >  2008 Len=20"
"150","1.439589","172.16.21.59","172.16.23.255","UDP","62","2007  >  2007 Len=20"
"151","1.444377","HewlettP_ce:77:3b","Broadcast","ARP","60","Who has 172.16.23.152? Tell 172.16.20.1"
"152","1.452249","172.16.21.76","255.255.255.255","UDP","68","59306  >  2008 Len=26"
"153","1.452620","172.16.21.76","255.255.255.255","UDP","68","59306  >  2007 Len=26"
"154","1.469561","fe80::793a:99a6:473a:e199","ff02::fb","MDNS","74","Standard query response 0x0000"
"155","1.470042","172.16.20.138","172.16.23.255","UDP","305","54915  >  54915 Len=263"
"156","1.479508","172.16.22.70","172.16.23.255","UDP","62","2007  >  2007 Len=20"
"157","1.496781","172.16.23.118","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"158","1.549206","fe80::686e:b9d2:e7b6:7300","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"159","1.551491","172.16.21.45","172.16.23.255","UDP","305","54915  >  54915 Len=263"
"160","1.551698","172.16.23.109","172.16.23.255","UDP","62","2008  >  2008 Len=20"
"161","1.552400","172.16.23.109","172.16.23.255","UDP","62","2007  >  2007 Len=20"
"162","1.565451","172.16.21.76","255.255.255.255","UDP","68","49646  >  2008 Len=26"
"163","1.566206","172.16.21.76","255.255.255.255","UDP","68","49646  >  2007 Len=26"
"164","1.579856","172.16.23.151","224.0.0.251","MDNS","495","Standard query response 0x4478 PTR 73c76cb468616ef8e6f3675e7591807e._alljoyn._udp.local SRV 1 1 9955 73c76cb468616ef8e6f3675e7591807e.local TXT PTR 73c76cb468616ef8e6f3675e7591807e._alljoyn._tcp.local SRV 1 1 9955 73c76cb468616ef8e6f3675e7591807e.local TXT TXT TXT A 172.16.23.151"
"165","1.580829","172.16.22.70","172.16.23.255","UDP","62","2008  >  2008 Len=20"
"166","1.580832","172.16.22.70","172.16.23.255","UDP","62","2007  >  2007 Len=20"
"167","1.648345","172.16.23.109","172.16.23.255","UDP","62","2008  >  2008 Len=20"
"168","1.648348","172.16.23.109","172.16.23.255","UDP","62","2007  >  2007 Len=20"
"169","1.741608","172.16.21.76","255.255.255.255","UDP","68","49603  >  2008 Len=26"
"170","1.742232","172.16.21.76","255.255.255.255","UDP","68","49603  >  2007 Len=26"
"171","1.744454","172.16.23.246","172.16.23.255","UDP","305","54915  >  54915 Len=263"
"172","1.744832","172.16.21.59","172.16.23.255","UDP","62","2008  >  2008 Len=20"
"173","1.745343","172.16.21.59","172.16.23.255","UDP","62","2007  >  2007 Len=20"
"174","1.747158","172.16.21.59","172.16.23.255","UDP","62","2008  >  2008 Len=20"
"175","1.747160","172.16.21.59","172.16.23.255","UDP","62","2007  >  2007 Len=20"
"176","1.747161","172.16.23.109","172.16.23.255","UDP","62","2008  >  2008 Len=20"
"177","1.747162","172.16.23.109","172.16.23.255","UDP","62","2007  >  2007 Len=20"
"178","1.747346","172.16.21.59","172.16.23.255","UDP","62","2008  >  2008 Len=20"
"179","1.747859","172.16.21.59","172.16.23.255","UDP","62","2007  >  2007 Len=20"
"180","1.779862","fe80::686e:b9d2:e7b6:7300","ff02::fb","MDNS","331","Standard query 0x4477 PTR _alljoyn._udp.local, ""QU"" question PTR _alljoyn._tcp.local, ""QU"" question TXT TXT"
"181","1.780222","fe80::793a:99a6:473a:e199","ff02::fb","MDNS","74","Standard query response 0x0000"
"182","1.788534","172.16.22.70","172.16.23.255","UDP","62","2008  >  2008 Len=20"
"183","1.788536","172.16.22.70","172.16.23.255","UDP","62","2007  >  2007 Len=20"
"184","1.789069","fe80::686e:b9d2:e7b6:7300","ff02::fb","MDNS","527","Standard query response 0x4475 PTR 73c76cb468616ef8e6f3675e7591807e._alljoyn._udp.local SRV 1 1 9955 73c76cb468616ef8e6f3675e7591807e.local TXT PTR 73c76cb468616ef8e6f3675e7591807e._alljoyn._tcp.local SRV 1 1 9955 73c76cb468616ef8e6f3675e7591807e.local TXT TXT TXT AAAA fe80::686e:b9d2:e7b6:7300"
"185","1.851556","172.16.23.109","172.16.23.255","UDP","62","2008  >  2008 Len=20"
"186","1.851825","172.16.23.109","172.16.23.255","UDP","62","2007  >  2007 Len=20"
"187","1.852916","172.16.21.59","172.16.23.255","UDP","62","2008  >  2008 Len=20"
"188","1.853110","172.16.21.59","172.16.23.255","UDP","62","2007  >  2007 Len=20"
"189","1.859949","fe80::a4e4:54c7:ade5:aff4","ff02::c","SSDP","511","NOTIFY * HTTP/1.1 "
"190","1.861045","172.16.22.243","172.16.23.255","BROWSER","216","Request Announcement AKY"
"191","1.861603","172.16.22.243","172.16.23.255","BROWSER","216","Request Announcement AKY"
"192","1.862585","172.16.22.243","172.16.23.255","BROWSER","246","Domain/Workgroup Announcement WORKGROUP, NT Workstation, Domain Enum"
"193","1.862902","172.16.22.28","172.16.23.255","BROWSER","243","Host Announcement DESKTOP-CKP6S9N, Workstation, Server, SQL Server, NT Workstation, Potential Browser"
"194","1.864472","172.16.22.182","224.0.0.252","LLMNR","64","Standard query 0xd0d7 A wpad"
"195","1.864479","fe80::5d57:47c5:a17d:4829","ff02::1:3","LLMNR","84","Standard query 0xd0d7 A wpad"
"196","1.864989","fe80::5d57:47c5:a17d:4829","ff02::1:3","LLMNR","84","Standard query 0x51fd AAAA wpad"
"197","1.865415","172.16.22.182","224.0.0.252","LLMNR","64","Standard query 0x51fd AAAA wpad"
"198","1.950684","172.16.22.70","172.16.23.255","UDP","62","2008  >  2008 Len=20"
"199","1.950882","172.16.22.70","172.16.23.255","UDP","62","2007  >  2007 Len=20"
"200","1.951426","IntelCor_18:92:46","ZebraTec_f0:f0:04","0x8781","74","Ethernet II"
"201","1.952667","IntelCor_18:92:46","ZebraTec_f0:f0:04","0x8781","594","Ethernet II"
"202","1.952796","172.16.23.109","172.16.23.255","UDP","62","2008  >  2008 Len=20"
"203","1.953060","172.16.23.109","172.16.23.255","UDP","62","2007  >  2007 Len=20"
"204","1.955751","172.16.21.59","172.16.23.255","UDP","62","2008  >  2008 Len=20"
"205","1.957010","172.16.23.128","172.16.23.255","UDP","305","54915  >  54915 Len=263"
"206","1.957218","HewlettP_ce:77:3b","Broadcast","ARP","60","Who has 172.16.23.219? Tell 172.16.20.1"
"207","1.958345","172.16.20.158","172.16.23.255","UDP","305","54915  >  54915 Len=263"
"208","1.958553","172.16.20.138","255.255.255.255","UDP","61","61314  >  8000 Len=19"
"209","1.958912","172.16.21.76","255.255.255.255","UDP","68","61248  >  2008 Len=26"
"210","1.959458","172.16.21.76","255.255.255.255","UDP","68","61248  >  2007 Len=26"
"211","1.981665","172.16.23.151","224.0.0.251","MDNS","299","Standard query 0x447a PTR _alljoyn._udp.local, ""QU"" question PTR _alljoyn._tcp.local, ""QU"" question TXT TXT"
"212","1.989811","172.16.22.70","172.16.23.255","UDP","62","2008  >  2008 Len=20"
"213","1.990130","172.16.22.70","172.16.23.255","UDP","62","2007  >  2007 Len=20"
"214","2.039804","172.16.23.109","172.16.23.255","UDP","62","2008  >  2008 Len=20"
"215","2.040002","172.16.23.109","172.16.23.255","UDP","62","2007  >  2007 Len=20"
"216","2.040448","172.16.21.59","172.16.23.255","UDP","62","2008  >  2008 Len=20"
"217","2.040747","172.16.21.59","172.16.23.255","UDP","62","2007  >  2007 Len=20"
"218","2.050048","172.16.22.140","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"219","2.050393","172.16.20.96","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"220","2.149689","fe80::686e:b9d2:e7b6:7300","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"221","2.151847","172.16.23.151","224.0.0.251","MDNS","495","Standard query response 0x4478 PTR 73c76cb468616ef8e6f3675e7591807e._alljoyn._udp.local SRV 1 1 9955 73c76cb468616ef8e6f3675e7591807e.local TXT PTR 73c76cb468616ef8e6f3675e7591807e._alljoyn._tcp.local SRV 1 1 9955 73c76cb468616ef8e6f3675e7591807e.local TXT TXT TXT A 172.16.23.151"
"222","2.152292","IntelCor_07:43:1a","Broadcast","ARP","60","Who has 172.16.21.54? Tell 172.16.21.17"
"223","2.153313","HewlettP_ce:77:3b","Broadcast","ARP","60","Who has 172.16.20.250? Tell 172.16.20.1"
"224","2.153751","172.16.23.229","224.0.0.251","MDNS","60","Standard query response 0x0000"
"225","2.184492","172.16.22.70","172.16.23.255","UDP","62","2008  >  2008 Len=20"
"226","2.184822","172.16.22.70","172.16.23.255","UDP","62","2007  >  2007 Len=20"
"227","2.185606","HewlettP_ce:77:3b","Broadcast","ARP","60","Who has 172.16.20.52? Tell 172.16.20.1"
"228","2.186605","172.16.21.76","255.255.255.255","UDP","68","61194  >  2007 Len=26"
"229","2.187396","172.16.23.151","224.0.0.251","MDNS","495","Standard query response 0x447b PTR 73c76cb468616ef8e6f3675e7591807e._alljoyn._udp.local SRV 1 1 9955 73c76cb468616ef8e6f3675e7591807e.local TXT PTR 73c76cb468616ef8e6f3675e7591807e._alljoyn._tcp.local SRV 1 1 9955 73c76cb468616ef8e6f3675e7591807e.local TXT TXT TXT A 172.16.23.151"
"230","2.187966","172.16.23.151","224.0.0.251","MDNS","299","Standard query 0x447d PTR _alljoyn._udp.local, ""QU"" question PTR _alljoyn._tcp.local, ""QU"" question TXT TXT"
"231","2.188536","172.16.21.59","172.16.23.255","UDP","62","2008  >  2008 Len=20"
"232","2.189411","172.16.21.59","172.16.23.255","UDP","62","2007  >  2007 Len=20"
"233","2.189629","172.16.23.109","172.16.23.255","UDP","62","2008  >  2008 Len=20"
"234","2.190134","172.16.23.109","172.16.23.255","UDP","62","2007  >  2007 Len=20"
"235","2.190716","172.16.20.220","172.16.23.255","UDP","305","54915  >  54915 Len=263"
"236","2.191539","172.16.22.70","172.16.23.255","UDP","62","2008  >  2008 Len=20"
"237","2.192202","172.16.22.70","172.16.23.255","UDP","62","2007  >  2007 Len=20"
"238","2.200062","fe80::9665:2dff:fe60:8694","ff02::2","ICMPv6","70","Router Solicitation from 94:65:2d:60:86:94"
"239","2.203204","HewlettP_ce:77:3b","Broadcast","ARP","60","Who has 172.16.21.60? Tell 172.16.20.1"
"240","2.269022","fe80::686e:b9d2:e7b6:7300","ff02::fb","MDNS","527","Standard query response 0x4478 PTR 73c76cb468616ef8e6f3675e7591807e._alljoyn._udp.local SRV 1 1 9955 73c76cb468616ef8e6f3675e7591807e.local TXT PTR 73c76cb468616ef8e6f3675e7591807e._alljoyn._tcp.local SRV 1 1 9955 73c76cb468616ef8e6f3675e7591807e.local TXT TXT TXT AAAA fe80::686e:b9d2:e7b6:7300"
"241","2.269658","172.16.21.76","255.255.255.255","UDP","68","55164  >  2008 Len=26"
"242","2.269660","172.16.21.76","255.255.255.255","UDP","68","55164  >  2007 Len=26"
"243","2.270146","172.16.23.109","172.16.23.255","UDP","62","2008  >  2008 Len=20"
"244","2.270239","172.16.23.109","172.16.23.255","UDP","62","2007  >  2007 Len=20"
"245","2.271499","172.16.21.59","172.16.23.255","UDP","62","2008  >  2008 Len=20"
"246","2.272234","172.16.21.59","172.16.23.255","UDP","62","2007  >  2007 Len=20"
"247","2.272600","fe80::686e:b9d2:e7b6:7300","ff02::fb","MDNS","527","Standard query response 0x4478 PTR 73c76cb468616ef8e6f3675e7591807e._alljoyn._udp.local SRV 1 1 9955 73c76cb468616ef8e6f3675e7591807e.local TXT PTR 73c76cb468616ef8e6f3675e7591807e._alljoyn._tcp.local SRV 1 1 9955 73c76cb468616ef8e6f3675e7591807e.local TXT TXT TXT AAAA fe80::686e:b9d2:e7b6:7300"
"248","2.273674","172.16.23.5","172.16.23.255","UDP","305","54915  >  54915 Len=263"
"249","2.273772","::","ff02::1:ff38:f63e","ICMPv6","78","Neighbor Solicitation for fe80::342f:651c:4b38:f63e"
"250","2.281992","fe80::342f:651c:4b38:f63e","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"251","2.281996","fe80::342f:651c:4b38:f63e","ff02::2","ICMPv6","62","Router Solicitation"
"252","2.286858","172.16.21.212","172.16.23.255","UDP","305","54915  >  54915 Len=263"
"253","2.291614","fe80::793a:99a6:473a:e199","ff02::fb","MDNS","74","Standard query response 0x0000"
"254","2.292284","172.16.22.70","172.16.23.255","UDP","62","2008  >  2008 Len=20"
"255","2.292287","172.16.22.70","172.16.23.255","UDP","62","2007  >  2007 Len=20"
"256","2.355472","172.16.21.76","255.255.255.255","UDP","68","65330  >  2008 Len=26"
"257","2.355674","172.16.21.76","255.255.255.255","UDP","68","65330  >  2007 Len=26"
"258","2.356066","172.16.21.59","172.16.23.255","UDP","62","2008  >  2008 Len=20"
"259","2.356933","172.16.21.59","172.16.23.255","UDP","62","2007  >  2007 Len=20"
"260","2.357130","172.16.23.109","172.16.23.255","UDP","62","2008  >  2008 Len=20"
"261","2.357384","172.16.23.109","172.16.23.255","UDP","62","2007  >  2007 Len=20"
"262","2.363732","172.16.22.160","239.255.255.250","SSDP","136","M-SEARCH * HTTP/1.1 "
"263","2.458378","172.16.22.70","172.16.23.255","UDP","62","2008  >  2008 Len=20"
"264","2.458773","172.16.22.70","172.16.23.255","UDP","62","2007  >  2007 Len=20"
"265","2.459048","HewlettP_ce:77:3b","Broadcast","ARP","60","Who has 172.16.21.233? Tell 172.16.20.1"
"266","2.460064","fe80::686e:b9d2:e7b6:7300","ff02::fb","MDNS","331","Standard query 0x447a PTR _alljoyn._udp.local, ""QU"" question PTR _alljoyn._tcp.local, ""QU"" question TXT TXT"
"267","2.462371","172.16.21.59","172.16.23.255","UDP","62","2008  >  2008 Len=20"
"268","2.462375","172.16.21.59","172.16.23.255","UDP","62","2007  >  2007 Len=20"
"269","2.462377","172.16.23.109","172.16.23.255","UDP","62","2008  >  2008 Len=20"
"270","2.462378","172.16.23.109","172.16.23.255","UDP","62","2007  >  2007 Len=20"
"271","2.464524","HewlettP_ce:77:3b","Broadcast","ARP","60","Who has 172.16.23.152? Tell 172.16.20.1"
"272","2.464531","172.16.21.76","255.255.255.255","UDP","68","60851  >  2008 Len=26"
"273","2.464533","172.16.21.76","255.255.255.255","UDP","68","60851  >  2007 Len=26"
"274","2.464741","172.16.20.138","172.16.23.255","UDP","305","54915  >  54915 Len=263"
"275","2.466258","172.16.23.118","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"276","2.566800","fe80::793a:99a6:473a:e199","ff02::fb","MDNS","74","Standard query response 0x0000"
